Harry vit [[таким образом]] de quoi il s'agissait et fit aussitôt un pas de côté.	alors
 des membres de la famille Dursley se rendait dans la salle de bains à cet instant et entendait au passage le grattement de la plume sur le parchemin, Harry avait toutes les chances de passer le reste de l'été [[заключенный]] dans le placard sous l'escalier.	enfermé
Saisissant sa lampe de chevet, il la leva au-dessus de sa tête, prêt à frapper, puis il attrapa entre le [[большой палец руки]] et l'index le papier qui enveloppait le paquet et tira d'un coup.	pouce
Harry ne se souvenait que trop bien des circonstances dans lesquelles la vieille baguette de Ron s'était [[сломанный]]. 	cassée
Son cœur fit un bond dans sa poitrine lorsqu'il déchira le papier et vit un étui de [[кожа]] noir sur lequel était grave en lettres d'argent: Nécessaire à balai	cuir
Derrière ses lunettes, ses yeux brillaient d'un vert étincelant et sur son front, parfaitement visible derrière une mèche de cheveux, se dessinait une mince cicatrice en forme d'[[молния]].	éclair
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une [[доска]] de parquet branlante dissimulée par son lit. 	lame
Le Poudlard Express partira de la gare de King's Cross, [[перрон]] n°9 3/4 à onze heures précises.	quai
Pendant une fraction de seconde, il hésita, la main sur la [[ручка (окна)]] de la fenêtre, en se demandant s'il ne ferait pas mieux de la refermer mais au même moment, la créature passa au-dessus d'un réverbère de Privet Drive. 	poignée
Les petits yeux de l'oncle Vernon s'étaient [[немедленно]] tournés vers Harry, toujours pétrifié.	aussitôt
et fit [[немедленно]] un pas de côté.	aussitôt
Harry reconnut [[немедленно]] le hibou inanimé. 	aussitôt
On en a [[потраченный]] la plus grande partie au cours de ce voyage, mais il va en rester suffisamment pour que mes parents puissent m'acheter une nouvelle baguette magique à la rentrée.	dépensé
Aussi Harry avait-il [[ухватился]] l'occasion qui lui avait été offerte dès la première semaine de vacances. 	saisi
De toute évidence, Ron s'était rendu compte qu'il avait [[вызвал]] des ennuis à Harry car il n'avait plus rappelé. 	attiré
Et il avait jeté le combiné sur son socle comme s'il s'était agi d'une [[паук]] venimeuse.	araignée
Avec des gestes lents et précautionneux, il dévissa le bouchon de la bouteille, trempa sa plume dans l'[[чернила]] et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	encre
 prendre une bouteille d'[[чернила]] et un rouleau de parchemin. 	encre
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous clé, dès le début des vacances, les grimoires, la baguette magique, le chaudron et le [[метла]] de Harry pour l'empêcher de s'en servir.	balai
Elle donna un affectueux coup de bec à Harry tandis qu'il lui enlevait son [[бремя; груз]], puis elle traversa la pièce d'un coup d'aile pour rejoindre Errol.	fardeau
Celui-ci le lui rendait bien et il aurait été ravi de lui infliger une [[отчисление]] d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	retenue
Celui-ci le lui [[сделанный]] bien et il aurait été ravi de lui infliger une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	rendait
Les couvertures tirées par-dessus sa tête comme une tente, Harry était allongé à plat ventre sur son lit, une lampe torche dans une main, un livre relié plein cuir ouvert sur son [[подушка]]. 	oreiller
Mr Weasley, ravi, nous a déclaré: « Cet or va nous servir à faire cet été un voyage en Egypte où se trouve Bill, notre fils [[старший]]. 	aîné
De sa vie, il n'avait jamais reçu une carte pour le lui [[пожелание]]. 	souhaiter
Du moment qu'il veillait à ne pas faire de [[пятна]] d'encre sur les draps, les Dursley ne s'apercevraient jamais qu'il passait une partie de la nuit à étudier la magie.Harry tenait à éviter tout conflit avec sa tante et son oncle. Leur humeur à son égard était déjà exécrable à cause d'un coup de téléphone qu'un de ses camarades sorciers lui avait donné au début des vacances.	taches
Il reconnut Mrs Weasley, petite et dodue, la haute silhouette et le crâne [[лысая]] de Mr Weasley, ainsi que leurs six garçons et leur fille qui avaient tous des cheveux d'un roux éclatant (bien qu'il fût impossible de s'en rendre compte sur la photo en noir et blanc). 	chauve
Harry traversa la pièce [[погруженную]] dans l'obscurité. 	plongée
L'oncle Vernon avait fini par [[уступить]] pour mettre fin au vacarme que faisait Hedwige lorsqu'elle restait enfermée trop longtemps dans sa cage.	céder
[[Его сердце подпрыгнуло]] dans sa poitrine lorsqu'il déchira le papier et vit un étui de cuir noir sur lequel était grave en lettres d'argent: Nécessaire à balai	Son cœur fit un bond
Sa silhouette découpée dans la lueur de la lune, une grande créature étrangement penchée de côté [[бьющее]] des ailes en volant dans la direction de Harry. 	battait
Les couvertures tirées par-dessus sa tête comme une tente, Harry était [[лежавший]] à plat ventre sur son lit, une lampe torche dans une main, un livre relié plein cuir ouvert sur son oreiller. 	allongé
Avec des gestes lents et précautionneux, il dévissa le [[пробка]] de la bouteille, trempa sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	bouchon
Sa silhouette découpée dans la [[свет]] de la lune, une grande créature étrangement penchée de côté battait des ailes en volant dans la direction de Harry. 	lueur
Par malchance, c'était l'oncle Vernon qui avait [[снял трубку]].	décroché
Deux d'entre eux portaient le troisième qui semblait [[без сознания]]. 	évanoui
Celui-ci le lui rendait bien et il aurait été ravi de lui infliger une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date [[ожидаемый]]. 	prévue
Le regard perdu vers les [[крыши]] des maisons environnantes, Harry mit quelques secondes à se rendre compte de ce qui se passait devant ses yeux.	toits
Grand et dégingandé, Ron se tenait au centre du [[фотография; (негатив)]]. 	cliché
Les [[брови]] froncés, Harry Potter fit courir le long de la page la pointe de la plume d'aigle qu'il tenait dans son autre main. 	sourcils
Dans cette maison, c'était le seul être vivant qui n'avait pas un mouvement de [[отступление]] en le voyant.	recul
Harry posa le Scrutoscope de poche sur sa table de chevet où il resta immobile, en équilibre sur sa pointe, reflétant les [[стрелки (часов)]] lumineuses de son réveil. 	aiguilles
Assassinés par le mage noir le plus [[грозный, внушающий страх]] qu'on ait connu depuis un siècle, Lord Voldemort. 	redoutable
Il contenait une grande bouteille de Crème à polir spéciale manche à balai, une paire de cisailles a brindilles en argent, une minuscule boussole en [[медь]] à attacher au manche pour les longs voyages et un Manuel d'entretien des balais.	cuivre
Harry tint sa plume entre ses dents et glissa une main sous l'oreiller pour prendre une bouteille d'encre et un [[свиток]] de parchemin. 	rouleau
Harry s'assit sur son lit, prit le paquet qu'avait apporté Errol, arracha le papier kraft qui le protégeait et découvrit un cadeau enveloppé dans du papier [[позолоченной]] ainsi que la première carte d'anniversaire qu'il eût jamais reçue. 	doré
Harry ne connaissait pas le troisième oiseau, un magnifique hibou au plumage fauve, mais il sut tout de suite d'où il venait, car en plus d'un troisième paquet, il portait une lettre sur laquelle il reconnut immédiatement le [[печать]] du collège Poudlard. 	sceau
Son insigne de préfet-en-chef était [[прицеплена, пришпилена]] sur le fez qu'il avait fièrement posé sur ses cheveux soigneusement coiffés. 	épingle
Son insigne de préfet-en-chef était épingle sur le fez qu'il avait fièrement posé sur ses cheveux [[тщательно]] coiffés. 	soigneusement
Lorsque quelqu'un en qui on ne peut pas avoir confiance se trouve [[по близости]], il doit normalement s'allumer et se mettre à tourner. 	dans les parages
Harry ne connaissait pas le troisième oiseau, un magnifique [[филин]] au plumage fauve	hibou
Puis il porta le [[филин]] dans la cage d'Hedwige. 	hibou
Il contenait une grande bouteille de Crème à polir spéciale manche à balai, une paire de cisailles a brindilles en argent, une minuscule [[компас]] en cuivre à attacher au manche pour les longs voyages et un Manuel d'entretien des balais.	boussole
Lorsque, par extraordinaire, un sorcier ou une sorcière doté de réels pouvoirs magiques était capturé, sa condamnation au [[погребальный костер]] n'avait aucun effet. 	bûcher
Ses cheveux d'un noir de jais, eux, n'avaient pas changé: ils étaient toujours en bataille et restaient obstinément rétifs à tous ses efforts pour les [[причесать]]. 	coiffer
L'oncle Vernon avait fini par céder pour mettre fin au [[шум]] que faisait Hedwige lorsqu'elle restait enfermée trop longtemps dans sa cage.	vacarme
Et il avait jeté le [[трубка (телефона)]] sur son socle comme s'il s'était agi d'une araignée venimeuse.	combiné
Le condamné se contentait de jeter un simple [[заклинание]] de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. 	sortilège
Ce soir-là, ils étaient arrivés à Poudlard dans une voiture volante et s'étaient [[разбили]] contre un arbre du parc.	écrasés
C'était précisément à cause de la famille Dursley, domiciliée au 4, Privet Drive, que Harry n'avait jamais eu le [[досуг]] d'apprécier les vacances d'été. 	loisir
Harry se précipita sur le lit, détacha la [[верёвка; шнур]] autour de ses pattes et prit le paquet. 	ficelle
Le condamné se contentait de jeter un simple sortilège de Gèle-Flamme, puis faisait semblant de se [[корчиться]] de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. 	tordre
Celui-ci le lui rendait bien et il aurait été ravi de lui [[причинить]] une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	infliger
UN EMPLOYÉ DU MINISTÈRE DE LA MAGIE [[выигрывает]] LE GRAND PRIX	REMPORTE
Les deux dernières années, les Dursley n'avaient pas pris la peine de le fêter et il n'y avait aucune raison pour qu'ils s'en [[вспомнили]] davantage cette année.	souviennent
— [[ой]] !	Ouille
Lorsque, par extraordinaire, un sorcier ou une sorcière [[с; обладающий, одарённый]] de réels pouvoirs magiques était capturé, sa condamnation au bûcher n'avait aucun effet. 	doté
Harry eut tout juste le temps de remarquer son élégante couverture verte sur laquelle était gravé un titre en lettres d'or – Le Monstrueux Livre des Monstres –, avant que l'objet [[встал]] sur le bord de sa reliure et se mette à courir sur le lit comme un crabe saugrenu.	se dresse
Il déchira le papier et aperçut un objet vert qui semblait en cuir, mais avant qu'il ait eu le temps de le [[распаковывать]] entièrement, le contenu du paquet se mit à frémir et laissa échapper une série de bruits secs et sonores, comme des claquements de mâchoires.	déballer
Il s'appuya sur le [[подоконник]], appréciant la fraîcheur de l'air nocturne sur son visage, après tout ce temps passé sous les couvertures. 	rebord
Bill prétend que c'est un attrape-[[балбес]] qu'on vend aux sorciers qui font du tourisme. 	nigaud
Ils [[принадлежал]] au monde des Moldus et avaient à l'égard de la magie une attitude très médiévale. 	appartenaient
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous clé, dès le début des vacances, les grimoires, la baguette magique, le [[котел]] et le balai de Harry pour l'empêcher de s'en servir.	chaudron
Harry posa le Scrutoscope de poche sur sa [[ночной ("прикроватный") столик]] où il resta immobile, en équilibre sur sa pointe, reflétant les aiguilles lumineuses de son réveil. 	table de chevet
Puis il se releva, s'étira et regarda l'heure sur le [[диск]] lumineux de son réveil posé sur la table de nuit.	cadran
 objet vert qui semblait en cuir, mais avant qu'il ait eu le temps de le déballer entièrement, le contenu du paquet se mit à frémir et laissa échapper une série de bruits secs et sonores, comme des claquements de [[челюстей]].	mâchoires
Sa silhouette découpée dans la lueur de la lune, une grande créature étrangement [[наклонённое]] de côté battait des ailes en volant dans la direction de Harry. 	penchée
Dans la chambre voisine, l'oncle Vernon émit dans son sommeil un [[хрюканье]] sonore.	grognement
Trois [[совы]] s'engouffrèrent par la fenêtre ouverte. 	hiboux
Très intéressés, Hedwige et Errol regardèrent Harry serrer dans ses bras le livre qui se débattait avec fureur, puis se précipiter vers la commode et en sortir une ceinture qu'il boucla [[тесно, крепко]] autour de la reliure. 	étroitement
directrice-[[заместитель(ница)]]	adjointe
[[молясь]] le ciel que les Dursley ne se réveillent pas, Harry se mit à quatre pattes et essaya de l'attraper.— Ouille !Le livre se referma violemment sur sa main et prit la fuite en continuant de se déplacer sur les bords de sa reliure qu'il ouvrait et refermait comme des mâchoires. Harry se releva, se rua sur le livre et parvint à l'aplatir contre le sol. Dans la chambre voisine, l'oncle Vernon émit dans son sommeil un grognement sonore.	en priant
Il découvrit dans la boîte quelque chose qui ressemblait à une petite [[юла]] en verre. 	toupie
Il doit être enchante, mais Ron n'a pas l'air de trouver ça très [[радостным]].	réjouissant
Seuls les lointains [[храп]] de Dudley, son énorme cousin, rompaient le silence qui régnait dans la maison. 	ronflements
Sa silhouette [[вырезанный]] dans la lueur de la lune, une grande créature étrangement penchée de côté battait des ailes en volant dans la direction de Harry. 	découpée
Il déchira le papier et aperçut un objet vert qui semblait en cuir, mais avant qu'il ait eu le temps de le déballer entièrement, le contenu du paquet se mit à [[содрогаться]] et laissa échapper une série de bruits secs et sonores, comme des claquements de mâchoires.	frémir
Derrière ses lunettes, ses yeux brillaient d'un vert [[блестели]] et sur son front, parfaitement visible derrière une mèche de cheveux, se dessinait une mince cicatrice en forme d'éclair.	étincelant
Pendant une fraction de seconde, il hésita, la main sur la poignée de la fenêtre, en se demandant s'il ne ferait pas mieux de la refermer mais au même moment, la créature passa au-dessus d'un [[уличный фонарь]] de Privet Drive. 	réverbère
Le livre [[спрыгнулa]] du lit avec un bruit sourd, traversa rapidement la pièce et alla se réfugier sous le bureau. 	sauta
Harry [[взрыв]] de rire en reposant la lettre d'Hermione puis il prit le paquet qu'elle lui avait envoyé. 	éclata
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une lame de parquet branlante [[скрытый]] par son lit. 	dissimulée
Harry sentait dans ses yeux des [[покалывание]] qui trahissaient sa fatigue et il estima préférable de finir son devoir le lendemain.	picotements
Il reconnut Mrs Weasley, petite et [[полная]], la haute silhouette et le crâne chauve de Mr Weasley, ainsi que leurs six garçons et leur fille qui avaient tous des cheveux d'un roux éclatant (bien qu'il fût impossible de s'en rendre compte sur la photo en noir 	dodue
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille [[наволочка]] d'oreiller, se leva et alla cacher le tout sous une lame de parquet branlante dissimulée par son lit. 	taie
Son père et sa mère, eux-mêmes sorciers, étaient morts depuis longtemps et jamais on n'[[вызвал]] leur souvenir sous le toit des Dursley. 	évoquait
Harry eut tout juste le temps de remarquer son élégante couverture verte sur laquelle était gravé un titre en lettres d'or – Le Monstrueux Livre des Monstres –, avant que l'objet se dresse sur le bord de sa [[переплет]] et se mette à courir sur le lit comme un crabe saugrenu.	reliure
Saisissant sa lampe de chevet, il la leva au-dessus de sa tête, prêt à frapper, puis il [[поймал]] entre le pouce et l'index le papier qui enveloppait le paquet et tira d'un coup.	attrapa
Au Moyen Age, les personnes dépourvues de pouvoirs magiques (appelées communément « Moldus ») [[ощущали]] une terreur particulière à l'égard de la sorcellerie, mais étaient souvent incapables de reconnaître ceux qui la pratiquaient vraiment. 	ressentaient
A cet effet, vous voudrez bien faire signer par un parent ou toute autre personne responsable l'autorisation de sortie [[приложенный]].	ci-jointe
Son insigne de préfet-en-chef était épingle sur le fez qu'il avait fièrement posé sur ses cheveux soigneusement [[уложенные]]. 	coiffés
Il contenait une grande bouteille de Crème à polir spéciale manche à balai, une paire de [[ножницы]] a brindilles en argent, une minuscule boussole en cuivre à attacher au manche pour les longs voyages et un Manuel d'entretien des balais.	cisailles
Harry jeta un coup d'œil au formulaire d'autorisation de sortie et son sourire [[исчезла, пропала]]. 	s'effaça
Harry trouvait inquiétant que Hagrid estime utile de posséder un livre [[кусачую]] au cours de l'année scolaire, mais l'essentiel à ses yeux, c'étaient toutes ces cartes d'anniversaire qu'il rassembla avec un large sourire. 	mordeur
 élégante couverture verte sur laquelle était gravé un titre en lettres d'or – Le Monstrueux Livre des Monstres –, avant que l'objet se dresse sur le bord de sa reliure et se mette à courir sur le lit comme un crabe [[нелепый]].	saugrenu
Harry [[нажал]] du bout du doigt sur le paquet qui émit à nouveau des claquements. 	appuya
Nul n'ignorait qu'il éprouvait une grande tendresse pour les araignées géantes, qu'il s'était empressé d'acheter un redoutable chien à trois têtes à un étranger rencontré dans un pub et qu'il [[прятал, утаивал]] volontiers des œufs de dragon dans sa cabane.	dissimulait
Il reconnut immédiatement l'écriture [[неряшливый]] de son expéditeur: le cadeau venait de Hagrid, le garde-chasse de Poudlard. 	brouillonne
Son cœur fit un bond dans sa poitrine lorsqu'il [[разорвал]] le papier et vit un étui de cuir noir sur lequel était grave en lettres d'argent: Nécessaire à balai	déchira
J'ai entièrement [[переписала]] mon devoir d'histoire de la magie pour y inclure certaines choses que j'ai découvertes. 	récrit
Je [[думаю]] bien qu'elle voulait être sûre qu'on t'envoie quelque chose pour ton anniversaire, cette fois-ci. 	croîs
Lorsque quelqu'un en qui on ne peut pas avoir confiance se trouve dans les parages, il doit normalement [[светиться]] et se mettre à tourner. 	s'allumer
Harry [[распаковал]] son cadeau. 	déballa
Ses lunettes à la monture d'écaillé [[блестели]] au soleil d'Egypte.	étincelaient
Harry [[развернул]] ensuite la lettre de Ron.	déplia
l'épaule et tenait [[обнял]] sa petite sœur Ginny.Harry ne connaissait personne qui, plus que les Weasley, ait mérité de gagner un joli tas d'or. Ils étaient en effet extrêmement pauvres et d'une générosité sans égale. Harry déplia ensuite la lettre de Ron.	enlacée
Grand et [[нескладный]], Ron se tenait au centre du cliché. 	dégingandé
Harry examina la photographie animée et un sourire éclaira son visage [[когда он ]] vit les neuf membres de la famille Weasley lui faire de grands signes de la main devant une pyramide égyptienne. 	lorsqu'il
Arthur Weasley, directeur du service des [[нарушений, растрат]] de l'Artisanat moldu. 	détournements
Harry [[развернул]] le morceau de papier journal et lut:	lissa
Lorsque Harry l'eut délivré de son courrier, l'oiseau [[взъерошила]] ses plumes d'un air avantageux, déploya ses ailes et s'envola par la fenêtre dans les profondeurs de la nuit.	ébouriffa
Errol [[приоткрыл]] un œil vitreux, laissa échapper un faible hululement en guise de remerciement et se mit à boire de l'eau à longues gorgées.	entrouvrit
Ils atterrirent sur le lit avec un bruit mou et le hibou évanoui [[упала]] sur le dos, les ailes en croix. 	bascula
Ils [[приземлился]] sur le lit avec un bruit mou et le hibou évanoui bascula sur le dos, les ailes en croix. 	atterrirent
Trois hiboux [[ввалились]] par la fenêtre ouverte. 	s'engouffrèrent
[[склонившись]] au rebord de la fenêtre, Harry contemplait le ciel nocturne en se disant qu'il avait eu de la chance de pouvoir atteindre son treizième anniversaire.	Accoudé
Ses cheveux d'un noir de jais, eux, n'avaient pas changé: ils étaient toujours en bataille et restaient obstinément [[непокорные]] à tous ses efforts pour les coiffer. 	rétifs
Il [[прислонился]] sur le rebord, appréciant la fraîcheur de l'air nocturne sur son visage, après tout ce temps passé sous les couvertures. 	s'appuya
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une lame de parquet [[расшатанная]] dissimulée par son lit. 	branlante
Il [[закупорил]] la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une lame de parquet branlante dissimulée par son lit. 	reboucha
Harry sentait dans ses yeux des picotements qui [[выдавало]] sa fatigue et il estima préférable de finir son devoir le lendemain.	trahissaient
Seuls les lointains ronflements de Dudley, son énorme cousin, [[нарушал]] le silence qui régnait dans la maison. 	rompaient
Harry [[завершено]] de prendre ses notes sur Gwendoline la Fantasque et s'interrompit pour tendre à nouveau l'oreille. 	acheva
avait tempêté l'oncle Vernon en l'inondant de [[пеной; слюной]].	postillons
avait tempêté l'oncle Vernon en [[затопив его]] de postillons.	l'inondant
avait-il [[прогремело]] en tenant le combiné à bout de bras comme s'il avait eu peur de le voir exploser. 	tonné
 Vernon, la tante Pétunia et leur fils Dudley étaient sortis dans le jardin admirer la nouvelle voiture de l'oncle Vernon en s'extasiant bruyamment pour que tout le voisinage soit au courant, Harry s'était glissé au rez-de-chaussée, avait [[взломал]] la serrure du placard sous l'escalier et pris quelques-uns de ses livres pour les cacher dans sa chambre. 	crocheté
Le plus difficile d'entre eux était destiné au professeur Rogue et avait pour sujet la potion de [[иссыхание, морщинистость]]. 	Ratatinage
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous clé, dès le début des vacances, les [[фолианты]], la baguette magique, le chaudron et le balai de Harry pour l'empêcher de s'en servir.	grimoires
A leur grande fureur, leurs efforts s'étaient révélés vains et ils vivaient à présent dans la [[страх; одержимость]] qu'un jour, quelqu'un finisse par découvrir que, depuis deux ans, Harry suivait ses études au collège Poudlard, l'école de sorcellerie. 	hantise
Pendant des années, la tante Pétunia et l'oncle Vernon avaient espéré qu'en tyrannisant Harry, ils [[достигнут]] à détruire tout ce qu'il y avait de magique en lui. 	parviendraient
Car si l'un des membres de la famille Dursley se rendait dans la salle de bains à cet instant et entendait au passage le [[скрежет]] de la plume sur le parchemin, Harry avait toutes les chances de passer le reste de l'été enfermé dans le placard sous l'escalier.	grattement
Avec des gestes lents et précautionneux, il dévissa le bouchon de la bouteille, [[погрузил]] sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	trempa
Avec des gestes lents et précautionneux, il [[отвинтил]] le bouchon de la bouteille, trempa sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	dévissa
Harry tint sa plume entre ses dents et [[сунул; проскользил]] une main sous l'oreiller pour prendre une bouteille d'encre et un rouleau de parchemin. 	glissa
sortilège de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de [[щекотка]]. 	chatouillis
sortilège de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il [[не ощущали]] qu'une agréable sensation de chatouillis. 	n'éprouvait
