Je suis vraiment *сожалею* pour le coup de téléphone.	désolé
On en a *потраченный* la plus grande partie au cours de ce voyage, mais il va en rester suffisamment pour que mes parents puissent m'acheter une nouvelle baguette magique à la rentrée.	dépensé
Mr Weasley, ravi, nous a déclaré: « Cet or va nous servir à faire cet été un voyage en Egypte où se trouve Bill, notre fils *старший*.	aîné
Il reconnut Mrs Weasley, petite et dodue, la haute silhouette et le crâne *лысая* de Mr Weasley, ainsi que leurs six garçons et leur fille qui avaient tous des cheveux d'un roux éclatant (bien qu'il fût impossible de s'en rendre compte sur la photo en noir et blanc).	chauve
*Его сердце подпрыгнуло* dans sa poitrine lorsqu'il déchira le papier et vit un étui de cuir noir sur lequel était grave en lettres d'argent: Nécessaire à balai	son cœur fit un bond
Grand et dégingandé, Ron se tenait au centre du *фотография; (негатив)*.	cliché
Harry posa le Scrutoscope de poche sur sa table de chevet où il resta immobile, en équilibre sur sa pointe, reflétant les *стрелки (часов)* lumineuses de son réveil.	aiguilles
Il contenait une grande bouteille de Crème à polir spéciale manche à balai, une paire de cisailles a brindilles en argent, une minuscule boussole en *медь* à attacher au manche pour les longs voyages et un Manuel d'entretien des balais.	cuivre
Son insigne de préfet-en-chef était *прицеплена, пришпилена* sur le fez qu'il avait fièrement posé sur ses cheveux soigneusement coiffés.	épingle
Son insigne de préfet-en-chef était épingle sur le fez qu'il avait fièrement posé sur ses cheveux *тщательно* coiffés.	soigneusement
Lorsque quelqu'un en qui on ne peut pas avoir confiance se trouve *по близости*, il doit normalement s'allumer et se mettre à tourner.	dans les parages
Il contenait une grande bouteille de Crème à polir spéciale manche à balai, une paire de cisailles a brindilles en argent, une minuscule *компас* en cuivre à attacher au manche pour les longs voyages et un Manuel d'entretien des balais.	boussole
Ce soir-là, ils étaient arrivés à Poudlard dans une voiture volante et s'étaient *разбили* contre un arbre du parc.	écrasés
UN EMPLOYÉ DU MINISTÈRE DE LA MAGIE *выигрывает* LE GRAND PRIX	remporte
*ой* !	ouille
Harry eut tout juste le temps de remarquer son élégante couverture verte sur laquelle était gravé un titre en lettres d'or – Le Monstrueux Livre des Monstres –, avant que l'objet *встал* sur le bord de sa reliure et se mette à courir sur le lit comme un crabe saugrenu.	se dresse
Il déchira le papier et aperçut un objet vert qui semblait en cuir, mais avant qu'il ait eu le temps de le *распаковывать* entièrement, le contenu du paquet se mit à frémir et laissa échapper une série de bruits secs et sonores, comme des claquements de mâchoires.	déballer
Bill prétend que c'est un attrape-*балбес* qu'on vend aux sorciers qui font du tourisme.	nigaud
Harry posa le Scrutoscope de poche sur sa *ночной ("прикроватный") столик* où il resta immobile, en équilibre sur sa pointe, reflétant les aiguilles lumineuses de son réveil.	table de chevet
objet vert qui semblait en cuir, mais avant qu'il ait eu le temps de le déballer entièrement, le contenu du paquet se mit à frémir et laissa échapper une série de bruits secs et sonores, comme des claquements de *челюстей*.	mâchoires
Dans la chambre voisine, l'oncle Vernon émit dans son sommeil un *хрюканье* sonore.	grognement
Très intéressés, Hedwige et Errol regardèrent Harry serrer dans ses bras le livre qui se débattait avec fureur, puis se précipiter vers la commode et en sortir une ceinture qu'il boucla *тесно, крепко* autour de la reliure.	étroitement
directrice-*заместитель(ница)*	adjointe
*молясь* le ciel que les Dursley ne se réveillent pas, Harry se mit à quatre pattes et essaya de l'attraper.	en priant
Il découvrit dans la boîte quelque chose qui ressemblait à une petite *юла* en verre.	toupie
Il doit être enchante, mais Ron n'a pas l'air de trouver ça très *радостным*.	réjouissant
Il déchira le papier et aperçut un objet vert qui semblait en cuir, mais avant qu'il ait eu le temps de le déballer entièrement, le contenu du paquet se mit à *содрогаться* et laissa échapper une série de bruits secs et sonores, comme des claquements de mâchoires.	frémir
Le livre *спрыгнулa* du lit avec un bruit sourd, traversa rapidement la pièce et alla se réfugier sous le bureau.	sauta
Harry *взрыв* de rire en reposant la lettre d'Hermione puis il prit le paquet qu'elle lui avait envoyé.	éclata
Il reconnut Mrs Weasley, petite et *полная*, la haute silhouette et le crâne chauve de Mr Weasley, ainsi que leurs six garçons et leur fille qui avaient tous des cheveux d'un roux éclatant (bien qu'il fût impossible de s'en rendre compte sur la photo en noir 	dodue
Harry eut tout juste le temps de remarquer son élégante couverture verte sur laquelle était gravé un titre en lettres d'or – Le Monstrueux Livre des Monstres –, avant que l'objet se dresse sur le bord de sa *переплет* et se mette à courir sur le lit comme un crabe saugrenu.	reliure
Saisissant sa lampe de chevet, il la leva au-dessus de sa tête, prêt à frapper, puis il *поймал* entre le pouce et l'index le papier qui enveloppait le paquet et tira d'un coup.	attrapa
A cet effet, vous voudrez bien faire signer par un parent ou toute autre personne responsable l'autorisation de sortie *приложенный*.	ci-jointe
Son insigne de préfet-en-chef était épingle sur le fez qu'il avait fièrement posé sur ses cheveux soigneusement *уложенные*.	coiffés
Il contenait une grande bouteille de Crème à polir spéciale manche à balai, une paire de *ножницы* a brindilles en argent, une minuscule boussole en cuivre à attacher au manche pour les longs voyages et un Manuel d'entretien des balais.	cisailles
Harry jeta un coup d'œil au formulaire d'autorisation de sortie et son sourire *исчезла, пропала*.	s'effaça
Harry trouvait inquiétant que Hagrid estime utile de posséder un livre *кусачую* au cours de l'année scolaire, mais l'essentiel à ses yeux, c'étaient toutes ces cartes d'anniversaire qu'il rassembla avec un large sourire.	mordeur
légante couverture verte sur laquelle était gravé un titre en lettres d'or – Le Monstrueux Livre des Monstres –, avant que l'objet se dresse sur le bord de sa reliure et se mette à courir sur le lit comme un crabe *нелепый*.	saugrenu
Harry *нажал* du bout du doigt sur le paquet qui émit à nouveau des claquements.	appuya
Nul n'ignorait qu'il éprouvait une grande tendresse pour les araignées géantes, qu'il s'était empressé d'acheter un redoutable chien à trois têtes à un étranger rencontré dans un pub et qu'il *прятал, утаивал* volontiers des œufs de dragon dans sa cabane.	dissimulait
Il reconnut immédiatement l'écriture *неряшливый* de son expéditeur: le cadeau venait de Hagrid, le garde-chasse de Poudlard.	brouillonne
Son cœur fit un bond dans sa poitrine lorsqu'il *разорвал* le papier et vit un étui de cuir noir sur lequel était grave en lettres d'argent: Nécessaire à balai	déchira
J'ai entièrement *переписала* mon devoir d'histoire de la magie pour y inclure certaines choses que j'ai découvertes.	récrit
Je *думаю* bien qu'elle voulait être sûre qu'on t'envoie quelque chose pour ton anniversaire, cette fois-ci.	croîs
Lorsque quelqu'un en qui on ne peut pas avoir confiance se trouve dans les parages, il doit normalement *светиться* et se mettre à tourner.	s'allumer
Harry *распаковал* son cadeau.	déballa
Ses lunettes à la monture d'écaillé *блестели* au soleil d'Egypte.	étincelaient
Harry *развернул* ensuite la lettre de Ron.	déplia
l'épaule et tenait *обнял* sa petite sœur Ginny.	enlacée
Grand et *нескладный*, Ron se tenait au centre du cliché.	dégingandé
Harry examina la photographie animée et un sourire éclaira son visage *когда он * vit les neuf membres de la famille Weasley lui faire de grands signes de la main devant une pyramide égyptienne.	lorsqu'il
Arthur Weasley, directeur du service des *нарушений, растрат* de l'Artisanat moldu.	détournements
Harry *застыл*.	se figea
