Harry vit *таким образом* de quoi il s'agissait et fit aussitôt un pas de côté.	alors
Derrière ses lunettes, ses yeux brillaient d'un vert *блестели* et sur son front, parfaitement visible derrière une mèche de cheveux, se dessinait une mince cicatrice en forme d'éclair.	étincelant
Pendant une fraction de seconde, il hésita, la main sur la poignée de la fenêtre, en se demandant s'il ne ferait pas mieux de la refermer mais au même moment, la créature passa au-dessus d'un *уличный фонарь* de Privet Drive. 	réverbère
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une lame de parquet branlante *скрытый* par son lit. 	dissimulée
Harry sentait dans ses yeux des *покалывание* qui trahissaient sa fatigue et il estima préférable de finir son devoir le lendemain.	picotements
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille *наволочка* d'oreiller, se leva et alla cacher le tout sous une lame de parquet branlante dissimulée par son lit. 	taie
Son père et sa mère, eux-mêmes sorciers, étaient morts depuis longtemps et jamais on n'*вызвал* leur souvenir sous le toit des Dursley. 	évoquait
Au Moyen Age, les personnes dépourvues de pouvoirs magiques (appelées communément « Moldus ») *ощущали* une terreur particulière à l'égard de la sorcellerie, mais étaient souvent incapables de reconnaître ceux qui la pratiquaient vraiment. 	ressentaient
Harry *развернул* le morceau de papier journal et lut:	lissa
Lorsque Harry l'eut délivré de son courrier, l'oiseau *взъерошила* ses plumes d'un air avantageux, déploya ses ailes et s'envola par la fenêtre dans les profondeurs de la nuit.	ébouriffa
Errol *приоткрыл* un œil vitreux, laissa échapper un faible hululement en guise de remerciement et se mit à boire de l'eau à longues gorgées.	entrouvrit
Ils atterrirent sur le lit avec un bruit mou et le hibou évanoui *упала* sur le dos, les ailes en croix. 	bascula
Ils *приземлился* sur le lit avec un bruit mou et le hibou évanoui bascula sur le dos, les ailes en croix. 	atterrirent
Trois hiboux *ввалились* par la fenêtre ouverte. 	s'engouffrèrent
*склонившись* au rebord de la fenêtre, Harry contemplait le ciel nocturne en se disant qu'il avait eu de la chance de pouvoir atteindre son treizième anniversaire.	Accoudé
Ses cheveux d'un noir de jais, eux, n'avaient pas changé: ils étaient toujours en bataille et restaient obstinément *непокорные* à tous ses efforts pour les coiffer. 	rétifs
Il *прислонился* sur le rebord, appréciant la fraîcheur de l'air nocturne sur son visage, après tout ce temps passé sous les couvertures. 	s'appuya
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une lame de parquet *расшатанная* dissimulée par son lit. 	branlante
Il *закупорил* la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une lame de parquet branlante dissimulée par son lit. 	reboucha
Harry sentait dans ses yeux des picotements qui *выдавало* sa fatigue et il estima préférable de finir son devoir le lendemain.	trahissaient
Seuls les lointains ronflements de Dudley, son énorme cousin, *нарушал* le silence qui régnait dans la maison. 	rompaient
Harry *завершено* de prendre ses notes sur Gwendoline la Fantasque et s'interrompit pour tendre à nouveau l'oreille. 	acheva
avait tempêté l'oncle Vernon en l'inondant de *пеной; слюной*.	postillons
avait tempêté l'oncle Vernon en *затопив его* de postillons.	l'inondant
avait-il *прогремело* en tenant le combiné à bout de bras comme s'il avait eu peur de le voir exploser. 	tonné
 Vernon, la tante Pétunia et leur fils Dudley étaient sortis dans le jardin admirer la nouvelle voiture de l'oncle Vernon en s'extasiant bruyamment pour que tout le voisinage soit au courant, Harry s'était glissé au rez-de-chaussée, avait *взломал* la serrure du placard sous l'escalier et pris quelques-uns de ses livres pour les cacher dans sa chambre. 	crocheté
Le plus difficile d'entre eux était destiné au professeur Rogue et avait pour sujet la potion de *иссыхание, морщинистость*. 	Ratatinage
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous clé, dès le début des vacances, les *фолианты*, la baguette magique, le chaudron et le balai de Harry pour l'empêcher de s'en servir.	grimoires
A leur grande fureur, leurs efforts s'étaient révélés vains et ils vivaient à présent dans la *страх; одержимость* qu'un jour, quelqu'un finisse par découvrir que, depuis deux ans, Harry suivait ses études au collège Poudlard, l'école de sorcellerie. 	hantise
Pendant des années, la tante Pétunia et l'oncle Vernon avaient espéré qu'en tyrannisant Harry, ils *достигнут* à détruire tout ce qu'il y avait de magique en lui. 	parviendraient
Car si l'un des membres de la famille Dursley se rendait dans la salle de bains à cet instant et entendait au passage le *скрежет* de la plume sur le parchemin, Harry avait toutes les chances de passer le reste de l'été enfermé dans le placard sous l'escalier.	grattement
Avec des gestes lents et précautionneux, il dévissa le bouchon de la bouteille, *погрузил* sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	trempa
Avec des gestes lents et précautionneux, il *отвинтил* le bouchon de la bouteille, trempa sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	dévissa
Harry tint sa plume entre ses dents et *сунул; проскользил* une main sous l'oreiller pour prendre une bouteille d'encre et un rouleau de parchemin. 	glissa
sortilège de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de *щекотка*. 	chatouillis
sortilège de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il *не ощущали* qu'une agréable sensation de chatouillis. 	n'éprouvait
Au Moyen Age, les personnes *лишённые* de pouvoirs magiques (appelées communément « Moldus ») ressentaient une terreur particulière à l'égard de la sorcellerie, mais étaient souvent incapables de reconnaître ceux qui la pratiquaient vraiment. 	dépourvues
Harry *перемонтирована* sur son nez ses lunettes rondes, approcha sa lampe torche du livre et lut ce qui était écrit:	remonta
Les sourcils froncés, Harry Potter fit courir le long de la page la pointe de la plume *орел* qu'il tenait dans son autre main. 	d'aigle
Les sourcils *нахмуренные*, Harry Potter fit courir le long de la page la pointe de la plume d'aigle qu'il tenait dans son autre main. 	froncés
Il *было* d'une Histoire de la magie par Adalbert Lasornette. 	s'agissait
Harry vit alors de quoi il *было* et fit aussitôt un pas de côté.	s'agissait
Ses cheveux d'un *чёрный как уголь*, eux, n'avaient pas changé: ils étaient toujours en bataille et restaient obstinément rétifs à tous ses efforts pour les coiffer. 	noir de jais
Avec des gestes lents et précautionneux, il dévissa le bouchon de la bouteille, trempa sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour *прислушаться*. 	tendre l'oreille
