, vestía de fiesta de maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en *початки* de perlas, el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina.	mazorcas
 que cantaban, vestía de fiesta de maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos *в перчатках* en mazorcas de perlas, el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina.	enguantadas
	desgranaría
 las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas *выбранных*, de maíz, sangre y amor aquella lunación poética.	escogidas
 granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, *оборвёт листья* flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	deshojaría
 fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la *торжественная речь* guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	arenga
 plenilunar, desde una de las fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, *разбрызжет* sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	salpicaría
	blandones
 símbolos y signos pintados para el canto y el baile, y depositadas allí, antes del alba, anónimamente, por los Mascadores de Luna que llegaban de los bosques, sin dar la cara, sin dejar huellas, urgidos, cautelosos, arropados en ligero *осколок* de neblina.	ripio
sin dar la cara, sin dejar huellas, urgidos, cautelosos, *завернутый* en ligero ripio de neblina.	arropados
sin dar la cara, sin dejar huellas, *настоятельные*, cautelosos, arropados en ligero ripio de neblina.	urgidos
	amanecían
	quicios
	dinteles
	escalinatas
	zancos
	zancos
	alzados
	tiniebla
	tejavanas
